100,9
200,22
300,24
400,39
500,48
600,48
700,81
800,95
900,118
1000,151
1100,150
1200,160
1300,221
1400,163
1500,203
1600,251
1700,254
1800,192
1900,873
2000,216
2100,219
2200,343
2300,244
2400,322
2500,412
2600,424
2700,335
2800,395
2900,422
3000,383
3100,487
3200,481
3300,489
3400,408
3500,560
3600,607
3700,514
3800,570
3900,460
4000,532
4100,586
4200,540
4300,530
4400,675
4500,721
4600,743
4700,645
4800,749
4900,715
5000,695
5100,916
5200,701
5300,624
5400,670
5500,870
5600,864
5700,786
5800,826
5900,757
6000,984
6100,937
6200,848
6300,1123
6400,735
6500,967
6600,900
6700,1007
6800,1297
6900,1511
7000,1000
7100,1201
7200,1033
7300,988
7400,1101
7500,984
7600,1267
7700,1186
7800,1177
7900,1212
8000,1090
8100,1167
8200,810
8300,749
8400,940
8500,1292
8600,1281
8700,1210
8800,1469
8900,1119
9000,1239
9100,1406
9200,1670
9300,1319
9400,1392
9500,1197
9600,1550
9700,1494
9800,1301
9900,1389
10000,1536
10100,1621
10200,1672
10300,1752
10400,1691
10500,1727
10600,1544
10700,1523
10800,1926
10900,1494
11000,1706
11100,1720
11200,1690
11300,1489
11400,1506
11500,1663
11600,1786
11700,1588
11800,1976
11900,1659
12000,1739
12100,1895
12200,1845
12300,1824
12400,1664
12500,1774
12600,1534
12700,1639
12800,1867
12900,1642
13000,1644
13100,1620
13200,1752
13300,1485
13400,2033
13500,2005
13600,1603
13700,1944
13800,2201
13900,1876
14000,2001
14100,1740
14200,1895
14300,1994
14400,1907
14500,2100
14600,1937
14700,1881
14800,1745
14900,1833
15000,1921
15100,1902
15200,1972
15300,2098
15400,1909
15500,2622
15600,1904
15700,2060
15800,2076
15900,2210
16000,2043
16100,2038
16200,1946
16300,2112
16400,2048
16500,1860
16600,2105
16700,2150
16800,1949
16900,2024
17000,2083
17100,2208
17200,2201
17300,2104
17400,2295
17500,2080
17600,2139
17700,2239
17800,2509
17900,2091
18000,1972
18100,2191
18200,2383
18300,2142
18400,2387
18500,1994
18600,2209
18700,2201
18800,2034
18900,2351
19000,2309
19100,2221
19200,2180
19300,2411
19400,2484
19500,2243
19600,2656
19700,2388
19800,2178
19900,2356
20000,2460
20100,2601
20200,2476
20300,2276
20400,2207
20500,2269
20600,2605
20700,2383
20800,2707
20900,2838
21000,2704
21100,3067
21200,2662
21300,2430
21400,2663
21500,2710
21600,2484
21700,2722
21800,2469
21900,2519
22000,2926
22100,2690
22200,2604
22300,2699
22400,2469
22500,2256
22600,2435
22700,2318
22800,2701
22900,2664
23000,2651
23100,2638
23200,2304
23300,2290
23400,1962
23500,2417
23600,2579
23700,2315
23800,2715
